ID,Payload,Distance,Current,Loading,Unloading,Penalty,Takeoff,DSQ,Preliminary Score,Score,Logfile,Datetime
1,4,1950.88,0.24,13.4,0.0,0.0,40,true,13305540.9793024,0.0,temp/027.txt,2026-07-01T12:08:36.000000+00:00
2,10,3167.05,0.05,19.9,38.6,0.0,40,false,109579997.29981251,911.4883256828373,temp/011.txt,2026-07-01T10:24:50.600000+00:00
3,8,2490.98,0.0,17.1,16.06,0.0,60,false,49639850.8832,451.16433495575006,temp/008.txt,2026-07-01T10:05:46.900000+00:00
4,3,262.34,0.36,147.5,1000.0,0.0,60,true,132138.769152,0.0,temp/023.txt,2026-07-01T11:47:15.200000+00:00
5,10,614.52,0.17,149.9,125.0,0.0,60,true,3134369.0923199994,0.0,temp/025.txt,2026-07-01T11:53:12.200000+00:00
6,7,3014.06,0.01,28.6,10.19,0.0,40,false,72399382.45945019,625.6689631728493,temp/020.txt,2026-07-01T11:28:16.000000+00:00
7,0,0.0,0.0,0.0,0.0,0.0,60,false,0.0,0.0,,
8,9,0.05,0.4,108.0,56.42,0.0,40,true,0.015525000000000002,0.0,temp/009.txt,2026-07-01T10:13:13.400000+00:00
9,10,3409.72,0.04,15.0,14.59,0.0,40,false,128353142.88153599,1075.205,temp/001.txt,2026-07-01T09:06:15.700000+00:00
10,9,2904.24,0.0,44.5,16.79,0.0,60,true,75911489.79839998,0.0,temp/013.txt,2026-07-01T10:41:01.600000+00:00
11,5,2473.72,0.22,298.0,34.54,0.0,40,false,27445018.513223995,213.8242811752142,temp/012.txt,2026-07-01T10:32:44.000000+00:00
12,4,2690.59,0.69,22.8,24.63,0.0,40,false,10323205.505590603,122.71314748306119,temp/010.txt,2026-07-01T10:17:25.400000+00:00
13,10,2587.34,0.0,26.6,13.16,0.0,60,false,66943282.75600001,573.675462165703,temp/006.txt,2026-07-01T09:50:08.000000+00:00
14,4,3098.97,0.0,6.4,5.4,0.0,40,false,44176629.28013999,398.2803471919108,temp/019.txt,2026-07-01T11:19:45.700000+00:00
15,2,1984.52,1.0,76.4,0.0,0.0,60,true,0.0,0.0,temp/026.txt,2026-07-01T12:02:03.200000+00:00
16,2,2473.68,0.08,23.4,17.8,0.0,40,false,12948000.242918398,146.27793685635578,temp/030.txt,2026-07-01T12:31:21.300000+00:00
17,2,0.0,0.06,44.0,1000.0,0.0,40,true,0.0,0.0,temp/032.txt,2026-07-01T12:43:36.400000+00:00
18,6,2204.24,0.0,18.3,8.14,0.0,60,true,29152043.865599994,0.0,temp/007.txt,2026-07-01T09:58:16.300000+00:00
19,10,3452.72,0.0,19.3,21.73,0.0,60,false,119212753.984,998.2721828275203,temp/003.txt,2026-07-01T09:24:29.700000+00:00
20,4,2602.46,0.0,7.9,6.63,0.0,60,false,27091192.2064,273.8026185888484,temp/016.txt,2026-07-01T11:01:49.600000+00:00
21,7,3027.14,0.0,19.3,14.99,0.0,60,true,64145036.05719999,0.0,temp/005.txt,2026-07-01T09:41:55.000000+00:00
22,2,252.5,0.02,30.0,1000.0,0.0,40,true,143706.5875,0.0,temp/031.txt,2026-07-01T12:37:26.500000+00:00
24,2,181.95,0.18,65.7,22.58,0.0,60,true,54293.5161,0.0,temp/015.txt,2026-07-01T10:55:10.200000+00:00
25,4,2391.9,0.08,12.9,21.83,0.0,40,false,24212057.50152,243.27126521297268,temp/018.txt,2026-07-01T11:13:44.700000+00:00
26,2,0.0,0.0,29.1,1000.0,0.0,60,true,0.0,0.0,temp/022.txt,2026-07-01T11:44:29.800000+00:00
28,4,3.22,0.0,241.7,1000.0,0.0,60,true,41.473600000000005,0.0,temp/028.txt,2026-07-01T12:18:39.000000+00:00
29,3,65.85,0.07,17.8,1000.0,0.0,60,true,12098.060774999996,0.0,temp/021.txt,2026-07-01T11:40:45.400000+00:00
30,6,2687.98,0.0,24.8,20.68,0.0,60,false,43351418.8824,375.0111287153393,temp/004.txt,2026-07-01T09:32:55.000000+00:00
31,5,2.32,0.0,9.2,1000.0,0.0,60,true,26.912,0.0,temp/017.txt,2026-07-01T11:07:49.800000+00:00
32,4,137.11,0.15,57.5,1000.0,0.0,60,true,63917.11714000001,0.0,temp/029.txt,2026-07-01T12:24:55.400000+00:00
33,4,2353.41,0.3,90.3,20.8,0.0,40,false,17834094.382481996,149.39552156733737,temp/033.txt,2026-07-01T12:47:18.400000+00:00
34,6,2884.07,0.13,26.3,21.12,0.0,60,false,43419227.97277801,374.5694296891658,temp/014.txt,2026-07-01T10:49:43.800000+00:00
36,7,0.0,0.0,41.1,1000.0,0.0,40,true,0.0,0.0,temp/024.txt,2026-07-01T11:36:30.900000+00:00
37,7,2500.96,0.0,41.5,123.55,0.0,60,false,43783606.4512,357.11830429902477,temp/002.txt,2026-07-01T09:15:30.700000+00:00
