Time,SatConnected,Latitude,Longitude,AltitudeGPS,AltitudeBaro,Voltage,Current
0,2,48.6388265,8.942732,464.70001221,0.795,12.543,0.117
100,2,48.6388265,8.942732,464.70001221,-0.011,12.543,0.146
300,2,48.6388265,8.942731833,464.70001221,-0.021,12.543,0.116
400,2,48.6388265,8.942731833,464.70001221,-0.016,12.544,0.149
500,2,48.638826667,8.942731833,464.70001221,-0.053,12.544,0.156
600,2,48.638826667,8.942731833,464.70001221,-0.032,12.544,0.137
700,2,48.6388265,8.942731833,464.70001221,-0.026,12.544,0.124
800,2,48.638826667,8.942731833,464.70001221,-0.053,12.545,0.035
900,2,48.638826667,8.942731833,464.70001221,0.077,12.545,0.031
1000,2,48.638826667,8.942731833,464.70001221,-0.042,12.545,0.031
1100,2,48.638826667,8.942731833,464.70001221,-0.079,12.545,0.031
1300,2,48.638826833,8.942731833,464.70001221,-0.021,12.545,0.026
1400,2,48.638826667,8.942731833,464.70001221,-0.069,12.545,0.024
1500,2,48.638826833,8.942732,464.70001221,-0.042,12.545,0.024
1600,2,48.638826833,8.942732,464.70001221,-0.095,12.546,0.022
1700,2,48.638826833,8.942732167,464.70001221,0.037,12.546,0.086
1800,2,48.638826833,8.942732167,464.70001221,-0.048,12.545,0.164
1900,2,48.638827,8.942732333,464.70001221,-0.005,12.544,0.261
2000,2,48.638827,8.9427325,464.70001221,-0.058,12.544,0.221
2100,2,48.638827,8.9427325,464.70001221,-0.09,12.545,0.068
2300,2,48.638827,8.9427325,464.70001221,0.114,12.545,0.035
2400,2,48.638827,8.942732667,464.70001221,0.016,12.544,0.035
2500,2,48.638827,8.942732667,464.70001221,-0.053,12.544,0.033
2600,2,48.638827,8.942732833,464.70001221,-0.1,12.544,0.03
2700,2,48.638827167,8.942733,464.70001221,-0.063,12.544,0.032
2800,2,48.638827167,8.942733167,464.70001221,0.05,12.545,0.032
2900,2,48.638827167,8.942733333,464.70001221,0.011,12.545,0.034
3000,2,48.638827333,8.942733333,464.70001221,-0.042,12.545,0.035
3100,2,48.638827333,8.942733333,464.70001221,-0.053,12.545,0.035
3300,2,48.638827333,8.9427335,464.70001221,-0.026,12.545,0.036
3400,2,48.638827333,8.9427335,464.70001221,-0.011,12.545,0.039
