ID,Name,University,Country,Flag,Predicted Payload,DSQ
1,Euroavia Zagreb,University of Zagreb,Croatia,🇭🇷,4,false
2,Xtra2 UPV,Universitat Politècnica de València,Spain,🇪🇸,9,false
3,RhinoJet,INSA Lyon / Ecole Centrale de Lyon,France,🇫🇷,7,false
4,ITU ATA TEAM,Istanbul Technical University,Türkiye,🇹🇷,0,false
5,Trencalòs Team,Universitat Politècnica de Catalunya,Spain,🇪🇸,15,false
6,Icarus PoliTO,Politecnico di Torino,Italy,🇮🇹,7,false
7,Team Ancyra,Middle East Technical University,Türkiye,🇹🇷,6,false
8,AeroTéc ATLAS,Universidade de Lisboa,Portugal,🇵🇹,8,false
9,AeroUD,University of Udine,Italy,🇮🇹,10,false
10,LIFT UP,Università degli studi di Padova,Italy,🇮🇹,8,false
11,WUT AeroDesign,Warsaw University of Technology,Poland,🇵🇱,13,false
12,Fly-Mi EUROAVIA Milano,Politecnico di Milano,Italy,🇮🇹,6,false
13,UBI Aeronautics Team,Universidade da Beira Interior,Portugal,🇵🇹,12,false
14,Team NOVA,Politehnica University of Bucharest,Romania,🇷🇴,0,false
15,CUHAR,Chulalongkorn University,Thailand,🇹🇭,3,false
16,TOPHANE AYGÖK,Tophane Vocational and Technical High School,Türkiye,🇹🇷,3,false
17,GAZİTAYYARECİLERİ,GAZİ UNİVERSİTY,Türkiye,🇹🇷,0,false
18,ATLAS - M.ACH,University of Patras,Greece,🇬🇷,0,false
19,AkaModell München,Technical University of Munich,Germany,🇩🇪,10,false
20,HERMES TEAM,National Technical University of Athens,Greece,🇬🇷,5,false
21,THU AIR,Tsinghua University,China,🇨🇳,0,false
22,AirOne,University of Bologna,Italy,🇮🇹,2,false
24,University of Glasgow Aeronautics,University of Glasgow,United Kingdom,🇬🇧,0,false
25,Sydney UAV Engineering,University of Sydney,Australia,🇦🇺,4,false
26,DIANA,Universidad de Castilla-La Mancha,Spain,🇪🇸,0,false
28,The Cajun Jet,University of Louisiana at Lafayette,USA,🇺🇸,4,false
29,UVigo Aerotech,Universidade de Vigo,Spain,🇪🇸,8,false
30,Lambach Aircraft ,Delft University of Technology,Netherlands,🇳🇱,10,false
31,VANTUS AeroDesign Team,University of Seville,Spain,🇪🇸,5,false
32,BEOAVIA,University of Belgrade,Serbia,🇷🇸,5,false
33,Team Albatross,Tampere University,Finland,🇫🇮,6,false
34,ASAT Aeronautics,Aristotle University of Thessaloniki,Greece,🇬🇷,0,false
36,JetStream,Wroclaw University of Science and Technology,Poland,🇵🇱,0,false
37,CTU AeroLab, Czech technical university in Prague,Czech Republic,🇨🇿,8,false
